user_category_1,user_category_2,predicted_category,count
Загар и защита от солнца,Программное обеспечение,Столы и стулья,1
Униформа и рабочая одежда,Автомобили новые,Ретро-консоли,1
Серьги,Букинистика,Униформа и рабочая одежда,1
Подписки на электронные книги и аудиокниги,Лекарственные средства,Маникюр и педикюр,1
Запчасти для игровых консолей,Серьги,Букинистика,1
Игровые жанры,Услуги,Наборы для выживания,1
Услуги,Наборы для выживания,Хозяйственные товары,1
Наборы для выживания,Хозяйственные товары,Мужская косметика,1
Хозяйственные товары,Мужская косметика,Предметы военной истории,1
Мужская косметика,Предметы военной истории,Коллекционирование,1
Предметы военной истории,Коллекционирование,Канцелярия,1
Коллекционирование,Канцелярия,Тактическая одежда и аксессуары,1
Канцелярия,Тактическая одежда и аксессуары,Украшения на шею,1
Тактическая одежда и аксессуары,Украшения на шею,Приборы и инструменты,1
Украшения на шею,Приборы и инструменты,Игровые приставки и ноутбуки,1
Приборы и инструменты,Игровые приставки и ноутбуки,Аксессуары для игровых приставок,1
Игровые приставки и ноутбуки,Аксессуары для игровых приставок,Сейфы и архивные шкафы,1
Аксессуары для игровых приставок,Сейфы и архивные шкафы,Оптика,1
Сейфы и архивные шкафы,Оптика,Запчасти для игровых консолей,1
Оптика,Запчасти для игровых консолей,Серьги,1
Программное обеспечение,Столы и стулья,Игровые наушники,1
Столы и стулья,Игровые наушники,Блокноты и ежедневники,1
Игровые наушники,Блокноты и ежедневники,Для кошек,1
Блокноты и ежедневники,Для кошек,Детям и родителям,1
Подставки и визитницы,Игровые приставки,Мебель для бизнеса,1
Игровые приставки,Мебель для бизнеса,Бумага,1
Мебель для бизнеса,Бумага,Шины и диски,1
Бумага,Шины и диски,Товары для школы и обучения,1
Шины и диски,Товары для школы и обучения,Аппаратная косметология и массаж,1
Товары для школы и обучения,Аппаратная косметология и массаж,Умный дом,1
Умный дом,Аппаратная косметология и массаж,Товары для праздников,1
Аппаратная косметология и массаж,Товары для праздников,Уход за телом,1
Товары для праздников,Уход за телом,Посуда и кухонные принадлежности,1
Уход за телом,Посуда и кухонные принадлежности,Ветеринарное оборудование,1
Посуда и кухонные принадлежности,Ветеринарное оборудование,Техника для кухни,1
Ветеринарное оборудование,Техника для кухни,Техника для дома,1
Техника для кухни,Техника для дома,Приборы и инструменты,1
Техника для дома,Приборы и инструменты,Аппаратная косметология и массаж,1
Приборы и инструменты,Аппаратная косметология и массаж,Для грызунов и хорьков,1
Автомобили новые,Подставки и визитницы,Игровые приставки,1
Оптика,Автомобили новые,Подставки и визитницы,1
Программное обеспечение,Оптика,Автомобили новые,1
Охранные системы и видеонаблюдение,Уход за телом,Медицинские приборы,1
Для кошек,Детям и родителям,Аккумуляторы и зарядки,1
Детям и родителям,Аккумуляторы и зарядки,Мужчинам,1
Аккумуляторы и зарядки,Мужчинам,Музыка,1
Мужчинам,Музыка,PC,1
Музыка,PC,Охранные системы и видеонаблюдение,1
PC,Охранные системы и видеонаблюдение,Уход за телом,1
Уход за телом,Медицинские приборы,Детям и родителям,1
Уход за телом,Программное обеспечение,Оптика,1
Медицинские приборы,Детям и родителям,Витамины и БАДы,1
Детям и родителям,Витамины и БАДы,Офисные принадлежности,1
Витамины и БАДы,Офисные принадлежности,Очки виртуальной реальности,1
Офисные принадлежности,Очки виртуальной реальности,Мужская косметика,1
Очки виртуальной реальности,Мужская косметика,Уход за телом,1
Мужская косметика,Уход за телом,Программное обеспечение,1
Запчасти для грузовиков и спецтехники,Игровые жанры,Услуги,1
Ортопедия,Запчасти для грузовиков и спецтехники,Игровые жанры,1
Сувениры,Ортопедия,Запчасти для грузовиков и спецтехники,1
Посуда и кухонные принадлежности,Подписки на электронные книги и аудиокниги,Очки виртуальной реальности,1
Медицинские изделия и расходные материалы,PC,Шнурки,1
PC,Шнурки,Женщинам,1
Шнурки,Женщинам,Геймпады,1
Женщинам,Геймпады,Ручные массажеры и аппликаторы,1
Геймпады,Ручные массажеры и аппликаторы,Офисная техника,1
Ручные массажеры и аппликаторы,Офисная техника,Оптика,1
Офисная техника,Оптика,Медицинские изделия и расходные материалы,1
Оптика,Медицинские изделия и расходные материалы,Освещение,1
Медицинские изделия и расходные материалы,Освещение,Лодки и лодочные моторы,1
Освещение,Лодки и лодочные моторы,Фото и видеокамеры,1
Лодки и лодочные моторы,Фото и видеокамеры,Кольца,1
Фото и видеокамеры,Кольца,Товары для праздников,1
Кольца,Товары для праздников,Компьютеры и периферия,1
Товары для праздников,Компьютеры и периферия,Медицинские инструменты,1
Компьютеры и периферия,Медицинские инструменты,Посуда и кухонные принадлежности,1
Для рыб и рептилий,Медицинские изделия и расходные материалы,PC,1
Предметы быта,Для рыб и рептилий,Медицинские изделия и расходные материалы,1
PC,Предметы быта,Для рыб и рептилий,1
Товары для школы и обучения,Для птиц,Загар и защита от солнца,1
Лекарственные средства,Маникюр и педикюр,Женщинам,1
Уход за волосами,Аккумуляторы и зарядки,Уход за телом,1
Аккумуляторы и зарядки,Уход за телом,Шнурки,1
Уход за телом,Шнурки,Ароматерапия,1
Шнурки,Ароматерапия,Климатическая техника,1
Детская комната,Товары для школы и обучения,Для птиц,1
Для птиц,Загар и защита от солнца,Облачные хранилища,1
Мебель для бизнеса,PC,Предметы быта,1
Загар и защита от солнца,Облачные хранилища,Телевизоры и видеотехника,1
Облачные хранилища,Телевизоры и видеотехника,Ретро-консоли,1
Телевизоры и видеотехника,Ретро-консоли,Мужчинам,1
Ретро-консоли,Мужчинам,Электроника для автомобиля,1
Мужчинам,Электроника для автомобиля,Мебель для бизнеса,1
Электроника для автомобиля,Мебель для бизнеса,PC,1
Медицинские инструменты,Посуда и кухонные принадлежности,Подписки на электронные книги и аудиокниги,1
Подписки на электронные книги и аудиокниги,Очки виртуальной реальности,Аксессуары для киберспорта,1
Аккумуляторы и зарядки,Сувениры,Ортопедия,1
Очки виртуальной реальности,Аксессуары для киберспорта,Игровые картриджи,1
Компьютеры и периферия,Часы,Униформа и рабочая одежда,1
Часы,Униформа и рабочая одежда,Картриджи для струйных принтеров,1
Униформа и рабочая одежда,Картриджи для струйных принтеров,Автомобили новые,1
Картриджи для струйных принтеров,Автомобили новые,"Ноутбуки, планшеты и электронные книги",1
Автомобили новые,"Ноутбуки, планшеты и электронные книги",Охота и стрельба,1
"Ноутбуки, планшеты и электронные книги",Охота и стрельба,Аккумуляторы и аксессуары,1
Охота и стрельба,Аккумуляторы и аксессуары,Игровые приставки,1
Аккумуляторы и аксессуары,Игровые приставки,Художественная литература,1
Игровые приставки,Художественная литература,Мебель для кухни,1
Художественная литература,Мебель для кухни,Нехудожественная литература,1
Мебель для кухни,Нехудожественная литература,Подгузники и гигиена,1
Нехудожественная литература,Подгузники и гигиена,Материалы и средства стоматологические,1
Подгузники и гигиена,Материалы и средства стоматологические,"Ноутбуки, планшеты и электронные книги",1
Материалы и средства стоматологические,"Ноутбуки, планшеты и электронные книги",Кольца,1
Кольца,Аккумуляторы и зарядки,Сувениры,1
Подписки на электронные книги и аудиокниги,Компьютеры и периферия,Часы,1
Дача и сад,Подписки на электронные книги и аудиокниги,Компьютеры и периферия,1
Ветеринарное оборудование,Дача и сад,Подписки на электронные книги и аудиокниги,1
Лодки и лодочные моторы,Детские украшения,Компьютерная и офисная мебель,1
Аксессуары для киберспорта,Игровые картриджи,Виниловые пластинки,1
Игровые картриджи,Виниловые пластинки,Техника для кухни,1
Виниловые пластинки,Техника для кухни,Униформа и рабочая одежда,1
Техника для кухни,Униформа и рабочая одежда,Освещение,1
Униформа и рабочая одежда,Освещение,Лодки и лодочные моторы,1
Освещение,Лодки и лодочные моторы,Детские украшения,1
Компьютерная и офисная мебель,Детские украшения,Бытовая химия,1
Инструменты и оборудование,Ветеринарное оборудование,Дача и сад,1
Детские украшения,Бытовая химия,Уход за лицом,1
Бытовая химия,Уход за лицом,Подарочные издания книг,1
Подарочные издания книг,Туризм и отдых на природе,Игровые картриджи,1
Туризм и отдых на природе,Игровые картриджи,Охранные системы и видеонаблюдение,1
Игровые картриджи,Охранные системы и видеонаблюдение,Инструменты и оборудование,1
Охранные системы и видеонаблюдение,Инструменты и оборудование,Ветеринарное оборудование,1
Электронные сертификаты,Охота и стрельба,Детское питание,1
